OTU	Cluster	IndVal	Prob	Domain	Phylum	Class	Order	Family	Genus
Otu000067	4	0.22950235086375	0.008	Bacteria	Acidobacteria	Acidobacteria_Gp4	Acidobacteria_Gp4_order_incertae_sedis	Acidobacteria_Gp4_family_incertae_sedis	Gp4
Otu000096	4	0.217790478168353	0.008	Bacteria	Verrucomicrobia	Spartobacteria	Spartobacteria_order_incertae_sedis	Spartobacteria_family_incertae_sedis	Spartobacteria_genera_incertae_sedis
Otu000110	4	0.19139287162898	0.032	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Burkholderiales_unclassified
Otu000119	4	0.259546059044743	0.033	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu000122	4	0.204882709472734	0.035	Bacteria	Acidobacteria	Acidobacteria_Gp4	Acidobacteria_Gp4_order_incertae_sedis	Acidobacteria_Gp4_family_incertae_sedis	Gp4
Otu000125	4	0.23891131942839	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Otu000128	4	0.207991540351177	0.013	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina
Otu000130	4	0.197713602761966	0.019	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Otu000181	4	0.218121011182993	0.004	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000188	4	0.210963114866014	0.018	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_unclassified	Deltaproteobacteria_unclassified	Deltaproteobacteria_unclassified
Otu000212	4	0.227196827389567	0.001	Bacteria	Acidobacteria	Acidobacteria_Gp3	Acidobacteria_Gp3_order_incertae_sedis	Acidobacteria_Gp3_family_incertae_sedis	Gp3
Otu000221	4	0.229787918437788	0.005	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000230	4	0.199872366986495	0.023	Bacteria	Verrucomicrobia	Subdivision3	Subdivision3_order_incertae_sedis	Subdivision3_family_incertae_sedis	3_genus_incertae_sedis
Otu000266	4	0.217772177168401	0.007	Bacteria	Acidobacteria	Acidobacteria_Gp25	Acidobacteria_Gp25_order_incertae_sedis	Acidobacteria_Gp25_family_incertae_sedis	Gp25
Otu000016	5	0.229479276595532	0.001	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas
Otu000029	5	0.194627392679226	0.021	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
Otu000041	5	0.194359018375088	0.049	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae_unclassified
Otu000046	5	0.193194387061739	0.029	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000061	5	0.215401617769483	0.001	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter
Otu000074	5	0.194687502801278	0.011	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000080	5	0.18434616747399	0.039	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sterolibacterium
